Destination,Month,RoomType,Stars,PricePerNight
"Barcelona",6,"Standard",0,2769
"Barcelona",6,"Standard",0,13
"Barcelona",6,"Standard",0,1769
"Barcelona",6,"Standard",0,1716
"Barcelona",6,"Standard",0,7503
"Barcelona",6,"Standard",0,1005
"Barcelona",6,"Standard",0,1784
"Barcelona",6,"Standard",0,2014
"Barcelona",6,"Standard",0,600
"Barcelona",6,"Standard",0,2486
"Barcelona",6,"Standard",0,1940
"Barcelona",6,"Standard",0,2207
"Barcelona",6,"Standard",0,3406
"Barcelona",6,"Standard",0,3542
"Barcelona",6,"Standard",0,17
"Barcelona",6,"Standard",0,1264
"Barcelona",6,"Standard",0,5.2
"Barcelona",6,"Standard",0,2075
"Barcelona",6,"Standard",0,16
"Barcelona",6,"Standard",0,1725
"Barcelona",6,"Standard",0,1937
"Barcelona",6,"Standard",0,1370
"Barcelona",6,"Standard",0,1350
"Barcelona",6,"Standard",0,1777
"Barcelona",6,"Standard",0,1767
"Barcelona",6,"Standard",0,1135
"Barcelona",6,"Standard",0,13
"Barcelona",6,"Standard",0,2004
"Barcelona",6,"Standard",0,1294
"Barcelona",6,"Standard",0,1528
"Barcelona",6,"Standard",0,15
"Barcelona",6,"Standard",0,1777
"Barcelona",6,"Standard",0,1114
"Barcelona",6,"Standard",0,2126
"Barcelona",6,"Standard",0,200
"Barcelona",6,"Standard",0,2209
"Barcelona",6,"Standard",0,1909
"Barcelona",6,"Standard",0,890
"Barcelona",6,"Standard",0,13
"Barcelona",6,"Standard",0,1663
"Barcelona",6,"Standard",0,1457
"Barcelona",6,"Standard",0,50
"Barcelona",6,"Standard",0,1765
"Barcelona",6,"Standard",0,1212
"Barcelona",6,"Standard",0,13
"Barcelona",6,"Standard",0,3018
"Barcelona",6,"Standard",0,10
"Barcelona",6,"Standard",0,1094
"Barcelona",6,"Standard",0,2155
"Barcelona",6,"Standard",0,1747
"Barcelona",6,"Standard",0,5.85
"Barcelona",6,"Standard",0,2360
"Barcelona",6,"Standard",0,14
"Barcelona",6,"Standard",0,1241
"Barcelona",6,"Standard",0,2
"Barcelona",6,"Standard",0,1177
"Barcelona",6,"Standard",0,5192
"Barcelona",6,"Standard",0,1542
"Barcelona",6,"Standard",0,2293
"Barcelona",6,"Standard",0,2752
"Barcelona",6,"Standard",0,1693
"Barcelona",6,"Standard",0,5
"Barcelona",6,"Standard",0,1508
"Barcelona",6,"Standard",0,10
"Barcelona",6,"Standard",0,2070
"Barcelona",6,"Standard",0,1308
"Barcelona",6,"Standard",0,14
"Barcelona",6,"Standard",0,1777
"Barcelona",6,"Standard",0,5
"Barcelona",6,"Standard",0,2784
"Barcelona",6,"Standard",0,1219
"Barcelona",6,"Standard",0,951
"Barcelona",6,"Standard",0,20.16
"Barcelona",6,"Standard",0,1038
"Barcelona",6,"Standard",0,1269
"Barcelona",6,"Standard",0,2217
"Barcelona",6,"Standard",0,400
